,Unnamed: 0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,Unnamed: 0,target
5547101,5547101,2021-04-25 23:07:24.701308+00:00,x,y,2021-05-19 13:30:00+00:00,2021-05-19 15:30:00+00:00,alpha,True,35.0,1,a-5,5547101,9602.0
13691919,13691919,2021-07-09 17:40:52.999651+00:00,x,y,2021-07-25 04:00:00+00:00,2021-07-25 06:00:00+00:00,alpha,True,35.0,1,a-1,13691919,19545.0
18957264,18957264,2021-08-13 19:44:30.859619+00:00,x,y,2021-08-21 14:00:00+00:00,2021-08-21 16:00:00+00:00,gamma,True,20.0,1,c-4,18957264,20120.0
15867417,15867417,2021-07-25 14:32:49.787573+00:00,x,y,2021-08-01 17:00:00+00:00,2021-08-01 18:59:00+00:00,gamma,True,20.0,1,c-6,15867417,17090.0
16406125,16406125,2021-07-29 12:11:44.998070+00:00,x,y,2021-08-03 13:00:00+00:00,2021-08-03 15:00:00+00:00,alpha,True,15.0,1,a-9,16406125,9045.0
7302797,7302797,2021-05-20 14:44:19.164643+00:00,x,y,2021-06-25 10:00:00+00:00,2021-06-25 12:00:00+00:00,alpha,True,15.0,1,a-9,7302797,7124.0
21125196,21125196,2021-08-26 19:27:11.566780+00:00,x,y,2021-09-12 11:00:00+00:00,2021-09-12 12:55:00+00:00,beta,True,40.0,0,b-69,21125196,8450.0
14323687,14323687,2021-07-13 20:24:08.020532+00:00,x,y,2021-07-14 07:00:00+00:00,2021-07-14 09:00:00+00:00,alpha,True,15.0,1,a-5,14323687,12945.0
14720647,14720647,2021-07-16 14:56:59.275877+00:00,x,y,2021-07-29 14:00:00+00:00,2021-07-29 16:00:00+00:00,gamma,True,20.0,1,c-4,14720647,10425.0
2314115,2314115,2021-02-28 09:46:31.023173+00:00,x,y,2021-03-09 11:00:00+00:00,2021-03-09 12:55:00+00:00,beta,True,20.0,0,b-69,2314115,6944.0
5084644,5084644,2021-04-21 05:03:44.742168+00:00,x,y,2021-04-28 11:00:00+00:00,2021-04-28 13:00:00+00:00,gamma,True,20.0,1,c-4,5084644,7135.0
1181867,1181867,2021-02-02 12:54:17.693165+00:00,x,y,2021-05-11 16:00:00+00:00,2021-05-11 18:00:00+00:00,alpha,True,20.0,1,a-7,1181867,32545.0
10804705,10804705,2021-06-22 11:01:00.510992+00:00,x,y,2021-07-10 11:00:00+00:00,2021-07-10 12:55:00+00:00,beta,True,20.0,0,b-69,10804705,7190.0
14192605,14192605,2021-07-13 03:36:36.910684+00:00,x,y,2021-07-25 13:00:00+00:00,2021-07-25 15:00:00+00:00,alpha,True,15.0,1,a-9,14192605,23895.0
5412167,5412167,2021-04-24 09:08:20.910513+00:00,x,y,2021-05-16 05:00:00+00:00,2021-05-16 06:55:00+00:00,beta,True,40.0,0,b-1,5412167,9674.0
19406656,19406656,2021-08-16 09:50:59.737322+00:00,x,y,2021-08-20 17:00:00+00:00,2021-08-20 18:59:00+00:00,gamma,True,20.0,1,c-6,19406656,15075.0
853843,853843,2021-01-25 09:31:17.721380+00:00,x,y,2021-01-25 13:00:00+00:00,2021-01-25 15:00:00+00:00,alpha,True,0.0,0,a-5,853843,8739.0
12241854,12241854,2021-07-01 21:56:46.381943+00:00,x,y,2021-07-07 10:00:00+00:00,2021-07-07 12:00:00+00:00,alpha,True,35.0,1,a-7,12241854,10545.0
371723,371723,2021-01-11 10:29:15.169634+00:00,x,y,2021-01-25 05:00:00+00:00,2021-01-25 06:55:00+00:00,beta,False,20.0,0,b-1,371723,8697.0
21468309,21468309,2021-08-29 13:44:49.630940+00:00,x,y,2021-09-14 05:30:00+00:00,2021-09-14 07:30:00+00:00,gamma,True,20.0,2,c-2,21468309,7870.0
13888673,13888673,2021-07-11 04:01:17.377334+00:00,x,y,2021-07-14 09:45:00+00:00,2021-07-14 11:45:00+00:00,gamma,True,20.0,1,c-2,13888673,13130.0
5165767,5165767,2021-04-21 20:00:55.723141+00:00,x,y,2021-04-25 11:00:00+00:00,2021-04-25 13:00:00+00:00,gamma,True,20.0,1,c-4,5165767,7390.0
1897604,1897604,2021-02-19 10:38:41.494820+00:00,x,y,2021-03-11 05:00:00+00:00,2021-03-11 07:00:00+00:00,gamma,True,20.0,1,c-2,1897604,12500.0
4408361,4408361,2021-04-08 15:25:57.152511+00:00,x,y,2021-05-05 05:00:00+00:00,2021-05-05 07:00:00+00:00,alpha,True,15.0,1,a-1,4408361,8048.0
15166295,15166295,2021-07-20 06:01:38.015190+00:00,x,y,2021-07-23 10:00:00+00:00,2021-07-23 12:00:00+00:00,alpha,True,35.0,1,a-7,15166295,8381.0
15157528,15157528,2021-07-20 03:37:55.731631+00:00,x,y,2021-09-03 14:00:00+00:00,2021-09-03 16:00:00+00:00,gamma,True,20.0,1,c-4,15157528,12560.0
8504951,8504951,2021-06-02 15:14:20.059826+00:00,x,y,2021-06-07 17:00:00+00:00,2021-06-07 18:59:00+00:00,gamma,True,20.0,1,c-6,8504951,10900.0
17117113,17117113,2021-08-04 15:07:09.761152+00:00,x,y,2021-08-05 14:00:00+00:00,2021-08-05 16:00:00+00:00,gamma,True,20.0,1,c-4,17117113,6870.0
2628158,2628158,2021-03-04 21:41:13.583293+00:00,x,y,2021-05-16 16:00:00+00:00,2021-05-16 17:55:00+00:00,beta,True,20.0,0,b-19,2628158,11368.0
3527036,3527036,2021-03-19 09:55:24.222755+00:00,x,y,2021-03-27 05:00:00+00:00,2021-03-27 07:00:00+00:00,gamma,True,20.0,2,c-2,3527036,10800.0
19977159,19977159,2021-08-19 11:39:43.713354+00:00,x,y,2021-09-19 10:00:00+00:00,2021-09-19 12:00:00+00:00,gamma,True,20.0,2,c-2,19977159,8500.0
6121327,6121327,2021-05-04 04:38:53.929961+00:00,x,y,2021-05-15 17:00:00+00:00,2021-05-15 18:59:00+00:00,gamma,True,20.0,2,c-6,6121327,9145.0
15701339,15701339,2021-07-24 10:36:23.216548+00:00,x,y,2021-07-27 10:00:00+00:00,2021-07-27 12:00:00+00:00,gamma,True,20.0,1,c-2,15701339,12050.0
1247304,1247304,2021-02-04 02:07:29.346706+00:00,x,y,2021-02-08 17:00:00+00:00,2021-02-08 18:59:00+00:00,gamma,True,0.0,0,c-6,1247304,8525.0
4682466,4682466,2021-04-17 10:16:08.771984+00:00,x,y,2021-04-23 14:00:00+00:00,2021-04-23 15:55:00+00:00,beta,True,20.0,0,b-9,4682466,7382.0
1493176,1493176,2021-02-10 09:50:08.351847+00:00,x,y,2021-02-19 05:00:00+00:00,2021-02-19 06:55:00+00:00,beta,True,35.0,0,b-1,1493176,9522.0
11036994,11036994,2021-06-24 08:22:51.992482+00:00,x,y,2021-07-25 17:00:00+00:00,2021-07-25 18:59:00+00:00,gamma,True,20.0,1,c-6,11036994,10900.0
5506586,5506586,2021-04-25 11:27:15.276647+00:00,x,y,2021-04-26 05:00:00+00:00,2021-04-26 07:00:00+00:00,alpha,True,35.0,1,a-1,5506586,8132.0
10781279,10781279,2021-06-22 07:54:29.359997+00:00,x,y,2021-07-07 17:00:00+00:00,2021-07-07 18:59:00+00:00,gamma,True,20.0,2,c-6,10781279,7620.0
20280055,20280055,2021-08-21 07:37:34.273415+00:00,x,y,2021-08-25 16:00:00+00:00,2021-08-25 18:00:00+00:00,alpha,True,20.0,1,a-23,20280055,12645.0
13018175,13018175,2021-07-05 20:36:11.595874+00:00,x,y,2021-08-22 17:00:00+00:00,2021-08-22 18:59:00+00:00,gamma,True,20.0,1,c-6,13018175,10285.0
8480106,8480106,2021-06-02 11:07:37.316394+00:00,x,y,2021-06-03 14:00:00+00:00,2021-06-03 15:55:00+00:00,beta,True,40.0,0,b-9,8480106,12965.0
5467213,5467213,2021-04-24 21:48:11.689962+00:00,x,y,2021-05-11 13:30:00+00:00,2021-05-11 15:30:00+00:00,alpha,True,35.0,1,a-5,5467213,8290.0
19862046,19862046,2021-08-18 17:57:31.144467+00:00,x,y,2021-08-21 17:00:00+00:00,2021-08-21 18:59:00+00:00,gamma,True,20.0,1,c-6,19862046,18350.0
3046062,3046062,2021-03-11 12:04:03.914315+00:00,x,y,2021-04-04 11:00:00+00:00,2021-04-04 13:00:00+00:00,gamma,True,20.0,1,c-4,3046062,9800.0
12235464,12235464,2021-07-01 20:40:12.650704+00:00,x,y,2021-07-13 16:00:00+00:00,2021-07-13 18:00:00+00:00,alpha,True,35.0,1,a-23,12235464,10545.0
4686924,4686924,2021-04-17 12:28:01.048833+00:00,x,y,2021-05-09 11:00:00+00:00,2021-05-09 13:00:00+00:00,gamma,True,20.0,1,c-4,4686924,7640.0
20271577,20271577,2021-08-21 06:23:43.756484+00:00,x,y,2021-09-01 17:00:00+00:00,2021-09-01 18:59:00+00:00,gamma,True,20.0,2,c-6,20271577,7870.0
11323321,11323321,2021-06-26 08:49:25.619382+00:00,x,y,2021-07-05 14:00:00+00:00,2021-07-05 16:00:00+00:00,gamma,True,20.0,1,c-4,11323321,7765.0
3080020,3080020,2021-03-11 20:30:26.207797+00:00,x,y,2021-03-23 17:00:00+00:00,2021-03-23 18:59:00+00:00,gamma,True,20.0,2,c-6,3080020,11300.0
14257946,14257946,2021-07-13 12:12:37.424406+00:00,x,y,2021-07-26 04:00:00+00:00,2021-07-26 06:00:00+00:00,alpha,True,35.0,1,a-1,14257946,17745.0
3244162,3244162,2021-03-14 12:01:07.039670+00:00,x,y,2021-03-17 13:30:00+00:00,2021-03-17 15:30:00+00:00,alpha,True,35.0,1,a-5,3244162,10799.0
14820766,14820766,2021-07-17 10:14:01.132272+00:00,x,y,2021-07-26 07:00:00+00:00,2021-07-26 09:00:00+00:00,alpha,True,15.0,1,a-5,14820766,14945.0
10890289,10890289,2021-06-23 05:07:55.887698+00:00,x,y,2021-06-23 13:00:00+00:00,2021-06-23 15:00:00+00:00,alpha,True,15.0,1,a-9,10890289,7150.0
4580319,4580319,2021-04-14 04:46:44.497890+00:00,x,y,2021-06-01 13:30:00+00:00,2021-06-01 15:30:00+00:00,alpha,True,35.0,1,a-5,4580319,8605.0
20150027,20150027,2021-08-20 11:06:09.503354+00:00,x,y,2021-09-20 07:00:00+00:00,2021-09-20 09:00:00+00:00,alpha,True,15.0,1,a-5,20150027,6810.0
15965006,15965006,2021-07-26 08:00:56.293089+00:00,x,y,2021-08-04 17:00:00+00:00,2021-08-04 18:59:00+00:00,gamma,True,20.0,2,c-6,15965006,10280.0
19688654,19688654,2021-08-17 19:09:54.696423+00:00,x,y,2021-09-07 10:35:00+00:00,2021-09-07 12:35:00+00:00,omega,True,20.0,1,d-3,19688654,7950.0
2983012,2983012,2021-03-10 16:33:22.753765+00:00,x,y,2021-03-31 11:00:00+00:00,2021-03-31 13:00:00+00:00,gamma,True,20.0,1,c-4,2983012,9800.0
11139130,11139130,2021-06-24 23:10:13.888480+00:00,x,y,2021-07-03 10:00:00+00:00,2021-07-03 12:00:00+00:00,alpha,True,35.0,1,a-7,11139130,11072.0
17529155,17529155,2021-08-07 10:48:33.467465+00:00,x,y,2021-08-20 05:00:00+00:00,2021-08-20 06:55:00+00:00,beta,True,20.0,0,b-1,17529155,6900.0
13816880,13816880,2021-07-10 14:40:44.222480+00:00,x,y,2021-07-24 16:00:00+00:00,2021-07-24 18:00:00+00:00,alpha,True,35.0,1,a-23,13816880,19545.0
77440,77440,2021-01-02 15:07:48.314391+00:00,x,y,2021-02-11 11:00:00+00:00,2021-02-11 13:00:00+00:00,gamma,True,32.0,1,c-4,77440,9150.0
6255763,6255763,2021-05-05 22:55:56.383763+00:00,x,y,2021-06-09 17:00:00+00:00,2021-06-09 18:59:00+00:00,gamma,True,20.0,2,c-6,6255763,10655.0
21659526,21659526,2021-08-31 05:54:36.672816+00:00,x,y,2021-09-27 11:00:00+00:00,2021-09-27 13:00:00+00:00,gamma,True,20.0,1,c-4,21659526,6870.0
491134,491134,2021-01-14 19:53:54.498580+00:00,x,y,2021-01-15 11:00:00+00:00,2021-01-15 13:00:00+00:00,gamma,True,32.0,1,c-4,491134,12175.0
10459264,10459264,2021-06-19 13:45:33.269523+00:00,x,y,2021-06-24 16:00:00+00:00,2021-06-24 18:00:00+00:00,alpha,True,15.0,1,a-23,10459264,9497.0
17473103,17473103,2021-08-07 04:43:15.392573+00:00,x,y,2021-09-19 14:00:00+00:00,2021-09-19 16:00:00+00:00,gamma,True,20.0,1,c-4,17473103,12560.0
7609082,7609082,2021-05-23 23:39:00.110582+00:00,x,y,2021-05-29 13:00:00+00:00,2021-05-29 15:00:00+00:00,alpha,True,15.0,1,a-5,7609082,7520.0
17914696,17914696,2021-08-09 09:46:42.579021+00:00,x,y,2021-08-10 07:00:00+00:00,2021-08-10 09:00:00+00:00,alpha,True,15.0,1,a-5,17914696,9045.0
15938913,15938913,2021-07-26 04:25:53.433886+00:00,x,y,2021-07-29 13:00:00+00:00,2021-07-29 15:00:00+00:00,alpha,True,15.0,1,a-9,15938913,10205.0
16926985,16926985,2021-08-02 22:10:54.030443+00:00,x,y,2021-08-08 04:00:00+00:00,2021-08-08 06:00:00+00:00,alpha,True,35.0,1,a-1,16926985,10545.0
13037330,13037330,2021-07-06 02:19:43.223354+00:00,x,y,2021-07-12 17:00:00+00:00,2021-07-12 18:59:00+00:00,gamma,True,20.0,1,c-6,13037330,15075.0
15947424,15947424,2021-07-26 05:47:36.740813+00:00,x,y,2021-07-31 17:00:00+00:00,2021-07-31 18:59:00+00:00,gamma,True,20.0,1,c-6,15947424,11545.0
15876188,15876188,2021-07-25 15:32:04.975011+00:00,x,y,2021-07-30 14:00:00+00:00,2021-07-30 15:55:00+00:00,beta,True,40.0,0,b-9,15876188,15500.0
17588671,17588671,2021-08-07 16:48:11.287124+00:00,x,y,2021-08-10 17:00:00+00:00,2021-08-10 18:59:00+00:00,gamma,True,20.0,2,c-6,17588671,7870.0
8875241,8875241,2021-06-06 08:54:47.402919+00:00,x,y,2021-06-15 14:00:00+00:00,2021-06-15 16:00:00+00:00,gamma,True,20.0,2,c-4,8875241,11900.0
9468578,9468578,2021-06-12 02:27:16.491033+00:00,x,y,2021-08-06 14:00:00+00:00,2021-08-06 15:55:00+00:00,beta,True,20.0,0,b-9,9468578,6522.0
20081679,20081679,2021-08-20 02:16:59.266147+00:00,x,y,2021-09-27 10:00:00+00:00,2021-09-27 12:00:00+00:00,gamma,True,20.0,2,c-2,20081679,8500.0
4069504,4069504,2021-03-30 18:45:11.577927+00:00,x,y,2021-04-13 14:00:00+00:00,2021-04-13 15:55:00+00:00,beta,True,20.0,0,b-9,4069504,8936.0
10530655,10530655,2021-06-20 07:22:09.995679+00:00,x,y,2021-06-26 07:00:00+00:00,2021-06-26 09:00:00+00:00,alpha,True,15.0,1,a-5,10530655,7900.0
17321680,17321680,2021-08-06 05:40:21.620953+00:00,x,y,2021-08-11 10:00:00+00:00,2021-08-11 12:00:00+00:00,gamma,True,20.0,1,c-2,17321680,6870.0
4707875,4707875,2021-04-18 01:07:03.315575+00:00,x,y,2021-05-16 15:30:00+00:00,2021-05-16 17:30:00+00:00,alpha,True,15.0,1,a-7,4707875,7796.0
317029,317029,2021-01-09 15:22:37.162734+00:00,x,y,2021-01-14 14:00:00+00:00,2021-01-14 15:55:00+00:00,beta,False,40.0,0,b-9,317029,10731.0
3461253,3461253,2021-03-18 06:14:02.929480+00:00,x,y,2021-04-12 15:30:00+00:00,2021-04-12 17:30:00+00:00,alpha,True,35.0,1,a-7,3461253,10799.0
21504964,21504964,2021-08-29 18:58:45.938378+00:00,x,y,2021-08-31 07:00:00+00:00,2021-08-31 09:00:00+00:00,alpha,True,15.0,1,a-5,21504964,7524.0
10385775,10385775,2021-06-18 21:07:00.530234+00:00,x,y,2021-07-18 09:45:00+00:00,2021-07-18 11:45:00+00:00,gamma,True,20.0,2,c-2,10385775,8765.0
1182373,1182373,2021-02-02 13:06:31.266988+00:00,x,y,2021-02-05 13:00:00+00:00,2021-02-05 15:00:00+00:00,alpha,True,0.0,0,a-5,1182373,8739.0
2994377,2994377,2021-03-10 18:53:28.023808+00:00,x,y,2021-03-19 15:30:00+00:00,2021-03-19 17:30:00+00:00,alpha,True,35.0,1,a-7,2994377,10799.0
11258568,11258568,2021-06-25 17:59:09.084066+00:00,x,y,2021-07-14 09:45:00+00:00,2021-07-14 11:45:00+00:00,gamma,True,20.0,1,c-2,11258568,8100.0
3801439,3801439,2021-03-25 05:43:59.258713+00:00,x,y,2021-03-30 05:00:00+00:00,2021-03-30 07:00:00+00:00,alpha,True,15.0,1,a-1,3801439,9798.0
11978170,11978170,2021-06-30 12:02:05.871637+00:00,x,y,2021-08-20 17:00:00+00:00,2021-08-20 18:59:00+00:00,gamma,True,20.0,1,c-6,11978170,7765.0
17688669,17688669,2021-08-08 07:55:17.833617+00:00,x,y,2021-08-13 16:00:00+00:00,2021-08-13 18:00:00+00:00,alpha,True,20.0,1,a-23,17688669,8381.0
16303685,16303685,2021-07-28 14:56:56.154707+00:00,x,y,2021-07-28 17:00:00+00:00,2021-07-28 18:59:00+00:00,gamma,True,20.0,1,c-6,16303685,15075.0
16840488,16840488,2021-08-02 07:18:00.589690+00:00,x,y,2021-08-07 10:00:00+00:00,2021-08-07 12:00:00+00:00,gamma,True,20.0,1,c-2,16840488,7500.0
18991751,18991751,2021-08-14 03:20:15.614782+00:00,x,y,2021-08-16 17:00:00+00:00,2021-08-16 18:59:00+00:00,gamma,True,20.0,2,c-6,18991751,7870.0
14357924,14357924,2021-07-14 05:14:26.900114+00:00,x,y,2021-07-27 05:00:00+00:00,2021-07-27 06:55:00+00:00,beta,True,40.0,0,b-1,14357924,9160.0
15992733,15992733,2021-07-26 11:07:39.112145+00:00,x,y,2021-08-19 07:00:00+00:00,2021-08-19 09:00:00+00:00,alpha,True,15.0,1,a-5,15992733,7524.0
19749677,19749677,2021-08-18 07:08:09.666121+00:00,x,y,2021-08-29 07:00:00+00:00,2021-08-29 09:00:00+00:00,alpha,True,20.0,1,a-5,19749677,8381.0
17702433,17702433,2021-08-08 09:10:10.376641+00:00,x,y,2021-08-20 17:00:00+00:00,2021-08-20 18:59:00+00:00,gamma,True,20.0,2,c-6,17702433,10280.0
9944090,9944090,2021-06-15 07:22:44.129490+00:00,x,y,2021-07-31 04:00:00+00:00,2021-07-31 06:00:00+00:00,alpha,True,15.0,1,a-1,9944090,6531.0
16753730,16753730,2021-08-01 11:29:44.675172+00:00,x,y,2021-08-05 04:00:00+00:00,2021-08-05 06:00:00+00:00,alpha,True,35.0,1,a-1,16753730,8381.0
5863083,5863083,2021-04-30 10:47:23.568804+00:00,x,y,2021-05-05 14:00:00+00:00,2021-05-05 15:55:00+00:00,beta,True,20.0,0,b-9,5863083,7132.0
20057092,20057092,2021-08-19 20:16:08.669240+00:00,x,y,2021-09-12 14:00:00+00:00,2021-09-12 16:00:00+00:00,gamma,True,20.0,2,c-4,20057092,8500.0
13702517,13702517,2021-07-09 18:45:53.589686+00:00,x,y,2021-08-13 14:00:00+00:00,2021-08-13 16:00:00+00:00,gamma,True,20.0,2,c-4,13702517,13560.0
3768606,3768606,2021-03-24 11:52:41.043494+00:00,x,y,2021-03-31 13:30:00+00:00,2021-03-31 15:30:00+00:00,alpha,True,35.0,1,a-5,3768606,10799.0
21370200,21370200,2021-08-28 16:53:58.251291+00:00,x,y,2021-08-30 10:35:00+00:00,2021-08-30 12:35:00+00:00,omega,True,20.0,1,d-3,21370200,10100.0
4081008,4081008,2021-03-31 05:09:04.539649+00:00,x,y,2021-04-01 05:00:00+00:00,2021-04-01 07:00:00+00:00,alpha,True,15.0,1,a-1,4081008,9798.0
1726105,1726105,2021-02-15 15:12:24.487883+00:00,x,y,2021-03-26 05:15:00+00:00,2021-03-26 07:25:00+00:00,alpha,True,35.0,1,a-1,1726105,12500.0
19935721,19935721,2021-08-19 06:55:41.048982+00:00,x,y,2021-08-21 17:05:00+00:00,2021-08-21 19:05:00+00:00,omega,True,20.0,1,d-5,19935721,17900.0
2482075,2482075,2021-03-02 14:57:58.168394+00:00,x,y,2021-06-12 13:30:00+00:00,2021-06-12 15:30:00+00:00,alpha,True,35.0,1,a-5,2482075,9235.0
10754389,10754389,2021-06-22 00:38:51.420803+00:00,x,y,2021-06-23 09:45:00+00:00,2021-06-23 11:45:00+00:00,gamma,True,20.0,1,c-2,10754389,6620.0
14230005,14230005,2021-07-13 09:05:55.481727+00:00,x,y,2021-07-16 11:00:00+00:00,2021-07-16 12:55:00+00:00,beta,True,40.0,0,b-69,14230005,19850.0
805440,805440,2021-01-23 21:59:17.419645+00:00,x,y,2021-01-29 05:15:00+00:00,2021-01-29 07:25:00+00:00,alpha,True,20.0,1,a-1,805440,10227.0
11868405,11868405,2021-06-29 18:22:08.459175+00:00,x,y,2021-07-01 14:45:00+00:00,2021-07-01 16:45:00+00:00,gamma,True,20.0,2,c-4,11868405,13050.0
3456550,3456550,2021-03-18 04:00:56.021000+00:00,x,y,2021-04-11 05:00:00+00:00,2021-04-11 07:00:00+00:00,alpha,True,35.0,1,a-1,3456550,10799.0
5614285,5614285,2021-04-26 18:36:11.511693+00:00,x,y,2021-05-11 17:00:00+00:00,2021-05-11 18:59:00+00:00,gamma,True,20.0,1,c-6,5614285,9655.0
21138498,21138498,2021-08-26 21:48:53.972677+00:00,x,y,2021-08-27 10:00:00+00:00,2021-08-27 12:00:00+00:00,gamma,True,20.0,1,c-2,21138498,11545.0
12794059,12794059,2021-07-04 18:15:25.397543+00:00,x,y,2021-07-31 13:00:00+00:00,2021-07-31 15:00:00+00:00,alpha,True,35.0,1,a-9,12794059,10545.0
5891999,5891999,2021-04-30 19:06:04.684306+00:00,x,y,2021-05-27 05:00:00+00:00,2021-05-27 07:00:00+00:00,alpha,True,15.0,1,a-1,5891999,8815.0
6594897,6594897,2021-05-11 02:12:13.471914+00:00,x,y,2021-05-12 13:30:00+00:00,2021-05-12 15:30:00+00:00,alpha,True,35.0,1,a-5,6594897,5996.0
13687473,13687473,2021-07-09 17:04:57.815520+00:00,x,y,2021-08-07 16:00:00+00:00,2021-08-07 18:00:00+00:00,alpha,True,35.0,1,a-23,13687473,10545.0
14713455,14713455,2021-07-16 14:02:49.492301+00:00,x,y,2021-07-27 07:00:00+00:00,2021-07-27 09:00:00+00:00,alpha,True,15.0,1,a-5,14713455,11245.0
6053456,6053456,2021-05-03 05:35:17.278246+00:00,x,y,2021-05-24 05:00:00+00:00,2021-05-24 07:00:00+00:00,alpha,True,15.0,1,a-1,6053456,8815.0
11580557,11580557,2021-06-28 05:45:32.638067+00:00,x,y,2021-07-01 04:00:00+00:00,2021-07-01 06:00:00+00:00,alpha,True,35.0,1,a-1,11580557,7900.0
8740405,8740405,2021-06-04 18:20:13.861406+00:00,x,y,2021-06-07 11:00:00+00:00,2021-06-07 13:00:00+00:00,gamma,True,20.0,2,c-4,8740405,11900.0
